state,fetched_at,mean_temp_00,mean_temp_01,mean_temp_02,mean_temp_03,mean_temp_04,mean_temp_05,mean_temp_06,mean_temp_07,mean_temp_08,mean_temp_09,mean_temp_10,mean_temp_11,annual_prcp,temp_range,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
SD,1749951989.8152075,19.07278106508876,22.98229166666667,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,42.08341906410721,53.20065580359811,92.22766853210003,31.801807033467213,2.3386549623325514,47.3239339912759,-23.94242307532614,-97.0938049249304,183.2360783397407,126.07951206863163
TN,1749951989.8152075,36.54370860927152,40.38576158940398,48.7140625,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,50.69963310389534,36.13843686868687,-66.7435196282815,-7.445018964501913,53.53978228854543,-28.563530584319363,67.05821311683837,16.778699635149838,-118.60824835737012,-58.25961916549348
TX,1749951989.8152075,46.39290780141844,33.66588130724408,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,45.54662503607299,38.607555561442794,-98.84415014186314,-126.93272715194661,29.988855140095385,-92.26642183044947,-113.6229481332145,9.782703351385852,-15.94910230267795,-26.872744754255585
UT,1749951989.8152075,26.742655367231638,31.172435897435896,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,43.48871790315628,45.53078150145524,23.66413548729124,4.312992618592893,-11.632027631587988,8.569312021710406,-17.870214765032646,-45.2469372494825,100.33710327171995,73.72688507765663
VT,1749951989.8152075,16.305102040816326,19.27551020408163,28.605102040816327,42.08877551020409,53.80510204081632,62.86632653061224,67.25625,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,45.21179510552682,55.71431995693901,136.5359280826766,20.181295528313864,-44.4991237020061,129.09696142711476,38.19332938823954,69.44540557260028,124.21568909053484,-10.051540860281065
VA,1749951989.8152075,34.95992366412214,37.85343511450382,44.93299999999999,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,47.06735609736726,37.313513204564735,-38.474587858875445,-8.940425371159483,-9.707747599762001,-24.038003907742972,5.828606168470944,35.1578070650635,-54.608199108480036,-34.56101736621861
WA,1749951989.8152075,34.923312883435585,37.68957055214724,47.0,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,55.219204437125995,37.35012398525129,-38.8818828922497,-31.424959584067686,229.2266607381883,16.134207676349327,143.79761409069667,-217.35655588798068,-94.25801000896689,-45.22316856454026
WV,1749951989.8152075,30.056756756756755,33.035585585585586,40.67524752475247,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,47.45766809820065,42.21668011193012,6.49038545594604,-5.74722646933271,-6.4855956837373165,31.065467592783314,21.545624929543102,21.83310473382344,-25.60355945446674,-26.431415872820054
WI,1749951989.8152075,15.741133004926109,19.818256963162625,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,43.351578594242795,56.53230386376076,128.92375453338454,60.06301152659409,7.844171131730231,74.00083429279401,-3.8353835030328596,-108.39918123518986,161.1625456391265,103.07574086907047
WY,1749951989.8152075,21.570125786163523,24.285534591194967,32.275000000000006,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,39.20874423874306,50.70331108252335,93.48354523953432,14.487954977183604,-163.22429997365296,69.31464864139006,-99.27917889907775,131.8772918219446,140.0524429057062,58.51723549929251
